Type,Last,Volume,Open Int,Daily Premium,Strike,Type,Last,Volume,Open Int,Daily Premium
Call,6.58,2.00,587.00,6580.00,68.50,Put,1.33,161.00,513.00,1330.00
Call,6.21,24.00,984.00,6210.00,69.00,Put,1.46,62.00,1315.00,1460.00
Call,5.85,1.00,760.00,5850.00,69.50,Put,1.6,40.00,641.00,1600.00
Call,5.5,18.00,7901.00,5500.00,70.00,Put,1.75,415.00,14943.00,1750.00
Call,5.16,12.00,630.00,5160.00,70.50,Put,1.91,61.00,488.00,1910.00
Call,4.83,10.00,2357.00,4830.00,71.00,Put,2.07,76.00,1084.00,2070.00
Call,4.51,23.00,930.00,4510.00,71.50,Put,2.25,39.00,751.00,2250.00
Call,4.2,511.00,2476.00,4200.00,72.00,Put,2.44,99.00,1283.00,2440.00
Call,3.91,344.00,2667.00,3910.00,72.50,Put,2.64,178.00,377.00,2640.00
Call,3.63,384.00,3141.00,3630.00,73.00,Put,2.86,687.00,1101.00,2860.00
Call,3.35,26.00,927.00,3350.00,73.50,Put,3.09,4.00,669.00,3090.00
Call,3.1,581.00,3027.00,3100.00,74.00,Put,3.32,14.00,443.00,3320.00
Call,2.85,90.00,597.00,2850.00,74.50,Put,3.58,7.00,248.00,3580.00
Call,2.61,1976.00,10421.00,2610.00,75.00,Put,3.84,98.00,6949.00,3840.00
Call,2.39,20.00,1340.00,2390.00,75.50,Put,4.12,4.00,236.00,4120.00
Call,2.19,64.00,2032.00,2190.00,76.00,Put,4.41,N/A,581.00,4410.00
Call,2,289.00,761.00,2000.00,76.50,Put,4.71,N/A,1015.00,4710.00
Call,1.82,643.00,3650.00,1820.00,77.00,Put,5.03,1.00,1030.00,5030.00
Call,1.65,299.00,2135.00,1650.00,77.50,Put,5.36,9.00,68.00,5360.00
Call,1.5,159.00,4136.00,1500.00,78.00,Put,5.71,N/A,453.00,5710.00
Call,1.36,126.00,730.00,1360.00,78.50,Put,6.06,N/A,305.00,6060.00
Call,1.23,159.00,2520.00,1230.00,79.00,Put,6.43,5.00,521.00,6430.00
Call,1.11,291.00,1027.00,1110.00,79.50,Put,6.81,1.00,414.00,6810.00
Call,1,3702.00,19687.00,1000.00,80.00,Put,7.2,12.00,4446.00,7200.00
Call,0.9,110.00,1412.00,900.00,80.50,Put,7.6,N/A,45.00,7600.00
Call,0.81,711.00,1570.00,810.00,81.00,Put,8.01,N/A,767.00,8010.00
Call,0.73,19.00,693.00,730.00,81.50,Put,8.42,N/A,23.00,8420.00
Call,0.66,232.00,3721.00,660.00,82.00,Put,8.85,N/A,44.00,8850.00
Call,0.59,57.00,2167.00,590.00,82.50,Put,9.28,N/A,521.00,9280.00
Call,0.53,439.00,3203.00,530.00,83.00,Put,9.72,N/A,44.00,9720.00
Call,0.48,48.00,583.00,480.00,83.50,Put,10.17,N/A,2.00,10170.00
Call,0.43,340.00,878.00,430.00,84.00,Put,10.62,N/A,2.00,10620.00
Call,0.39,19.00,401.00,390.00,84.50,Put,11.08,N/A,1.00,11080.00
Call,0.35,473.00,14368.00,350.00,85.00,Put,11.54,4.00,489.00,11540.00
Call,0.32,3.00,446.00,320.00,85.50,Put,12,N/A,3.00,12000.00
Call,0.29,41.00,903.00,290.00,86.00,Put,12.47,30.00,25.00,12470.00
Call,0.26,14.00,271.00,260.00,86.50,Put,12.94,N/A,2.00,12940.00
Call,0.24,24.00,461.00,240.00,87.00,Put,13.42,N/A,3.00,13420.00
Call,0.22,34.00,548.00,220.00,87.50,Put,13.9,25.00,4.00,13900.00
Call,0.2,50.00,2031.00,200.00,88.00,Put,14.38,90.00,47.00,14380.00
Call,0.18,87.00,331.00,180.00,88.50,Put,14.86,N/A,4.00,14860.00
Call,0.17,93.00,367.00,170.00,89.00,Put,15.35,N/A,17.00,15350.00
Call,0.16,18.00,1751.00,160.00,89.50,Put,15.83,N/A,8.00,15830.00
Call,0.15,18.00,11675.00,150.00,90.00,Put,16.32,N/A,810.00,16320.00
Call,0.14,N/A,535.00,140.00,90.50,Put,16.81,N/A,20.00,16810.00
Call,0.13,2.00,561.00,130.00,91.00,Put,17.3,N/A,1.00,17300.00
Call,0.12,7.00,1037.00,120.00,91.50,Put,17.79,N/A,29.00,17790.00
Call,0.11,N/A,902.00,110.00,92.00,Put,18.29,N/A,2.00,18290.00
Call,0.1,N/A,399.00,100.00,92.50,Put,18.78,N/A,30.00,18780.00
Call,0.1,4.00,1311.00,100.00,93.00,Put,19.27,N/A,26.00,19270.00
Call,0.09,1.00,305.00,90.00,93.50,Put,19.77,N/A,28.00,19770.00
Call,0.09,100.00,849.00,90.00,94.00,Put,20.26,N/A,11.00,20260.00
Call,0.08,N/A,648.00,80.00,94.50,,,,,
Call,0.08,11.00,7699.00,80.00,95.00,Put,21.25,N/A,48,"21,250.00"
Call,0.07,75.00,728.00,70.00,95.50,,,,,
Call,0.07,8.00,352.00,70.00,96.00,,,,,
Call,0.07,N/A,472.00,70.00,96.50,Put,22.74,N/A,1,"22,740.00"
Call,0.06,21.00,441.00,60.00,97.00,Put,23.24,N/A,1,"23,240.00"
Call,0.06,N/A,561.00,60.00,97.50,,,,,
Call,0.06,26.00,298.00,60.00,98.00,,,,,
Call,0.05,20.00,91.00,50.00,98.50,Put,24.74,N/A,1,"24,740.00"
Downloaded from Barchart.com as of 07-08-2023 08:06pm CDT,,,,,,,,,,
